PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Massachusetts,2022,42,X,1.68775,X,X,X,X,X,X,1402,95,83069
States,Michigan,2022,42,X,1.92928,X,X,X,X,X,X,1017,154,52714
States,Minnesota,2022,42,X,1.86356,X,X,X,X,X,X,610,70,32733
States,Mississippi,2022,42,X,5.30754,X,X,X,X,X,X,705,30,13283
States,Missouri,2022,42,X,2.08283,X,X,X,X,X,X,603,41,28951
States,Montana,2022,42,X,0.951581,X,X,X,X,X,X,68,28,7146
States,Nebraska,2022,42,X,3.21495,X,X,X,X,X,X,487,84,15148
States,Nevada,2022,42,X,1.1436,X,X,X,X,X,X,219,32,19150
States,New Hampshire,2022,42,X,0.608273,X,X,X,X,X,X,10,10,1644
States,New Jersey,2022,42,X,4.47403,X,X,X,X,X,X,1381,33,30867
States,New Mexico,2022,42,X,3.45906,X,X,X,X,X,X,796,37,23012
States,New York,2022,42,X,2.62504,X,X,X,X,X,X,1098,124,41828
States,North Carolina,2022,42,X,3.2326,X,X,X,X,X,X,3083,147,95372
States,North Dakota,2022,42,X,2.54809,X,X,X,X,X,X,102,14,4003
States,Ohio,2022,42,X,3.59179,X,X,X,X,X,X,1663,88,46300
States,Oklahoma,2022,42,X,1.85378,X,X,X,X,X,X,321,30,17316
States,Oregon,2022,42,X,1.04888,X,X,X,X,X,X,421,89,40138
States,Pennsylvania,2022,42,X,1.67095,X,X,X,X,X,X,1152,104,68943
States,Rhode Island,2022,42,X,0.91673,X,X,X,X,X,X,132,24,14399
States,South Carolina,2022,42,X,5.81752,X,X,X,X,X,X,1916,39,32935
States,South Dakota,2022,42,X,1.05217,X,X,X,X,X,X,97,32,9219
States,Tennessee,2022,42,X,5.42952,X,X,X,X,X,X,1905,45,35086
States,Texas,2022,42,X,6.0281,X,X,X,X,X,X,3720,60,61711
States,Utah,2022,42,X,1.89883,X,X,X,X,X,X,363,48,19117
States,Vermont,2022,42,X,0.823913,X,X,X,X,X,X,43,13,5219
States,Virginia,2022,42,X,4.56188,X,X,X,X,X,X,5288,168,115917
States,Washington,2022,42,X,1.67822,X,X,X,X,X,X,426,73,25384
States,West Virginia,2022,42,X,2.38095,X,X,X,X,X,X,332,45,13944
States,Wisconsin,2022,42,X,1.60693,X,X,X,X,X,X,347,34,21594
States,Wyoming,2022,42,X,1.42264,X,X,X,X,X,X,48,17,3374
States,Commonwealth of the Northern Mariana Islands,2022,42,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2022,42,X,4.25887,X,X,X,X,X,X,102,7,2395
States,Virgin Islands,2022,42,X,0.877785,X,X,X,X,X,X,13,4,1481
States,New York City,2022,42,X,5.12785,X,X,X,X,X,X,5898,107,115019
States,Alabama,2022,43,X,10.2737,X,X,X,X,X,X,5912,107,57545
States,Alaska,2022,43,X,1.86275,X,X,X,X,X,X,76,12,4080
States,Arizona,2022,43,X,1.55061,X,X,X,X,X,X,322,44,20766
States,Arkansas,2022,43,X,3.77965,X,X,X,X,X,X,647,52,17118
States,California,2022,43,X,3.73647,X,X,X,X,X,X,11136,223,298035
States,Colorado,2022,43,X,3.81954,X,X,X,X,X,X,1982,98,51891
States,Connecticut,2022,43,X,3.46733,X,X,X,X,X,X,1657,70,47789
States,Delaware,2022,43,X,1.77091,X,X,X,X,X,X,267,28,15077
States,District of Columbia,2022,43,X,10.8406,X,X,X,X,X,X,659,4,6079
States,Florida,2022,43,X,4.78704,X,X,X,X,X,X,12160,362,254019
States,Georgia,2022,43,X,8.56539,X,X,X,X,X,X,7816,105,91251
States,Hawaii,2022,43,X,4.16002,X,X,X,X,X,X,1409,41,33870
States,Idaho,2022,43,X,1.119,X,X,X,X,X,X,104,31,9294
States,Illinois,2022,43,X,3.46368,X,X,X,X,X,X,2846,180,82167
States,Indiana,2022,43,X,2.49893,X,X,X,X,X,X,1465,106,58625
States,Iowa,2022,43,X,1.4875,X,X,X,X,X,X,97,16,6521
States,Kansas,2022,43,X,2.24374,X,X,X,X,X,X,445,35,19833
States,Kentucky,2022,43,X,3.67474,X,X,X,X,X,X,1339,79,36438
States,Louisiana,2022,43,X,5.29776,X,X,X,X,X,X,2538,87,47907
States,Maine,2022,43,X,1.47667,X,X,X,X,X,X,232,54,15711
States,Maryland,2022,43,X,5.64379,X,X,X,X,X,X,2683,65,47539
States,Massachusetts,2022,43,X,2.07313,X,X,X,X,X,X,1732,95,83545
States,Michigan,2022,43,X,2.01836,X,X,X,X,X,X,1917,154,94978
States,Minnesota,2022,43,X,2.00755,X,X,X,X,X,X,729,70,36313
States,Mississippi,2022,43,X,7.21649,X,X,X,X,X,X,1050,29,14550
States,Missouri,2022,43,X,2.22689,X,X,X,X,X,X,657,41,29503
States,Montana,2022,43,X,1.14669,X,X,X,X,X,X,82,28,7151
States,Nebraska,2022,43,X,3.69855,X,X,X,X,X,X,665,85,17980
States,Nevada,2022,43,X,1.36133,X,X,X,X,X,X,258,32,18952
States,New Hampshire,2022,43,X,0.619408,X,X,X,X,X,X,9,10,1453
States,New Jersey,2022,43,X,5.38049,X,X,X,X,X,X,1704,32,31670
States,New Mexico,2022,43,X,5.01809,X,X,X,X,X,X,1165,39,23216
States,New York,2022,43,X,2.75031,X,X,X,X,X,X,1936,124,70392
States,North Carolina,2022,43,X,5.64825,X,X,X,X,X,X,5985,148,105962
States,North Dakota,2022,43,X,2.91595,X,X,X,X,X,X,119,14,4081
States,Ohio,2022,43,X,4.29568,X,X,X,X,X,X,2081,89,48444
States,Oklahoma,2022,43,X,2.44167,X,X,X,X,X,X,428,29,17529
States,Oregon,2022,43,X,1.04458,X,X,X,X,X,X,419,89,40112
States,Pennsylvania,2022,43,X,2.28088,X,X,X,X,X,X,1634,106,71639
States,Rhode Island,2022,43,X,1.24974,X,X,X,X,X,X,181,24,14483
States,South Carolina,2022,43,X,10.3271,X,X,X,X,X,X,3659,38,35431
States,South Dakota,2022,43,X,0.84773,X,X,X,X,X,X,79,32,9319
States,Tennessee,2022,43,X,8.55605,X,X,X,X,X,X,3275,100,38277
States,Texas,2022,43,X,7.72925,X,X,X,X,X,X,5069,61,65582
States,Utah,2022,43,X,2.13536,X,X,X,X,X,X,407,48,19060
States,Vermont,2022,43,X,1.08007,X,X,X,X,X,X,58,13,5370
States,Virginia,2022,43,X,6.8234,X,X,X,X,X,X,8408,168,123223
States,Washington,2022,43,X,2.05054,X,X,X,X,X,X,887,73,43257
States,West Virginia,2022,43,X,4.11528,X,X,X,X,X,X,594,44,14434
States,Wisconsin,2022,43,X,1.77769,X,X,X,X,X,X,380,34,21376
States,Wyoming,2022,43,X,2.05585,X,X,X,X,X,X,67,17,3259
States,Commonwealth of the Northern Mariana Islands,2022,43,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2022,43,X,4.72472,X,X,X,X,X,X,121,8,2561
States,Virgin Islands,2022,43,X,2.15264,X,X,X,X,X,X,22,3,1022
States,New York City,2022,43,X,6.27631,X,X,X,X,X,X,7871,106,125408
States,Alabama,2022,44,X,11.5412,X,X,X,X,X,X,6688,106,57949
States,Alaska,2022,44,X,1.94553,X,X,X,X,X,X,75,12,3855
States,Arizona,2022,44,X,2.65965,X,X,X,X,X,X,566,44,21281
States,Arkansas,2022,44,X,5.46639,X,X,X,X,X,X,940,50,17196
States,California,2022,44,X,4.50526,X,X,X,X,X,X,13396,225,297341
States,Colorado,2022,44,X,4.93605,X,X,X,X,X,X,2628,98,53241
States,Connecticut,2022,44,X,4.33738,X,X,X,X,X,X,2130,70,49108
States,Delaware,2022,44,X,2.67915,X,X,X,X,X,X,412,27,15378
States,District of Columbia,2022,44,X,12.7334,X,X,X,X,X,X,825,4,6479
States,Florida,2022,44,X,5.50544,X,X,X,X,X,X,14390,362,261378
States,Georgia,2022,44,X,9.15391,X,X,X,X,X,X,8097,102,88454
States,Hawaii,2022,44,X,4.08222,X,X,X,X,X,X,1408,42,34491
States,Idaho,2022,44,X,1.85701,X,X,X,X,X,X,180,31,9693
States,Illinois,2022,44,X,4.19095,X,X,X,X,X,X,3459,181,82535
States,Indiana,2022,44,X,3.08791,X,X,X,X,X,X,1782,105,57709
States,Iowa,2022,44,X,2.02436,X,X,X,X,X,X,128,16,6323
States,Kansas,2022,44,X,3.02249,X,X,X,X,X,X,598,35,19785
States,Kentucky,2022,44,X,5.57457,X,X,X,X,X,X,2182,79,39142
States,Louisiana,2022,44,X,5.95891,X,X,X,X,X,X,2912,87,48868
States,Maine,2022,44,X,2.09673,X,X,X,X,X,X,339,53,16168
States,Maryland,2022,44,X,7.1382,X,X,X,X,X,X,3616,65,50657
States,Massachusetts,2022,44,X,2.64377,X,X,X,X,X,X,2260,95,85484
States,Michigan,2022,44,X,2.32806,X,X,X,X,X,X,2210,154,94929
States,Minnesota,2022,44,X,2.42012,X,X,X,X,X,X,890,70,36775
States,Mississippi,2022,44,X,10.0621,X,X,X,X,X,X,1524,30,15146
States,Missouri,2022,44,X,2.69953,X,X,X,X,X,X,806,41,29857
States,Montana,2022,44,X,1.3873,X,X,X,X,X,X,97,28,6992
States,Nebraska,2022,44,X,4.82782,X,X,X,X,X,X,851,85,17627
States,Nevada,2022,44,X,1.64643,X,X,X,X,X,X,320,32,19436
States,New Hampshire,2022,44,X,0.770599,X,X,X,X,X,X,13,10,1687
States,New Jersey,2022,44,X,7.44489,X,X,X,X,X,X,2472,32,33204
States,New Mexico,2022,44,X,6.75828,X,X,X,X,X,X,1623,38,24015
States,New York,2022,44,X,3.88556,X,X,X,X,X,X,2499,124,64315
States,North Carolina,2022,44,X,8.11582,X,X,X,X,X,X,9039,148,111375
States,North Dakota,2022,44,X,3.24855,X,X,X,X,X,X,129,13,3971
States,Ohio,2022,44,X,5.78641,X,X,X,X,X,X,2753,88,47577
States,Oklahoma,2022,44,X,3.09873,X,X,X,X,X,X,564,30,18201
States,Oregon,2022,44,X,1.81349,X,X,X,X,X,X,738,89,40695
States,Pennsylvania,2022,44,X,2.75726,X,X,X,X,X,X,1945,101,70541
States,Rhode Island,2022,44,X,1.64374,X,X,X,X,X,X,245,25,14905
States,South Carolina,2022,44,X,12.5918,X,X,X,X,X,X,5008,39,39772
States,South Dakota,2022,44,X,1.18982,X,X,X,X,X,X,108,31,9077
States,Tennessee,2022,44,X,12.2946,X,X,X,X,X,X,5087,101,41376
States,Texas,2022,44,X,8.54895,X,X,X,X,X,X,5726,62,66979
States,Utah,2022,44,X,2.90988,X,X,X,X,X,X,566,48,19451
States,Vermont,2022,44,X,1.15859,X,X,X,X,X,X,61,13,5265
States,Virginia,2022,44,X,8.99403,X,X,X,X,X,X,11723,166,130342
States,Washington,2022,44,X,2.89621,X,X,X,X,X,X,1364,73,47096
States,West Virginia,2022,44,X,4.13773,X,X,X,X,X,X,560,43,13534
States,Wisconsin,2022,44,X,2.15523,X,X,X,X,X,X,474,34,21993
States,Wyoming,2022,44,X,2.83294,X,X,X,X,X,X,97,16,3424
States,Commonwealth of the Northern Mariana Islands,2022,44,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2022,44,X,6.45422,X,X,X,X,X,X,160,7,2479
States,Virgin Islands,2022,44,X,1.5261,X,X,X,X,X,X,19,3,1245
States,New York City,2022,44,X,7.89766,X,X,X,X,X,X,10526,107,133280
States,Alabama,2022,45,X,8.55034,X,X,X,X,X,X,4298,108,50267
States,Alaska,2022,45,X,2.98266,X,X,X,X,X,X,129,12,4325
States,Arizona,2022,45,X,3.60994,X,X,X,X,X,X,837,44,23186
States,Arkansas,2022,45,X,5.75594,X,X,X,X,X,X,1066,51,18520
States,California,2022,45,X,5.45335,X,X,X,X,X,X,16348,226,299779
States,Colorado,2022,45,X,6.39022,X,X,X,X,X,X,3532,98,55272
States,Connecticut,2022,45,X,4.34486,X,X,X,X,X,X,2165,70,49829
States,Delaware,2022,45,X,2.63891,X,X,X,X,X,X,398,26,15082
States,District of Columbia,2022,45,X,12.6955,X,X,X,X,X,X,901,4,7097
States,Florida,2022,45,X,6.01916,X,X,X,X,X,X,14928,361,248008
States,Georgia,2022,45,X,7.85764,X,X,X,X,X,X,6767,105,86120
States,Hawaii,2022,45,X,4.33102,X,X,X,X,X,X,1277,42,29485
States,Idaho,2022,45,X,2.59727,X,X,X,X,X,X,255,31,9818
States,Illinois,2022,45,X,4.31,X,X,X,X,X,X,3770,182,87471
States,Indiana,2022,45,X,3.49898,X,X,X,X,X,X,2063,107,58960
States,Iowa,2022,45,X,2.22732,X,X,X,X,X,X,136,16,6106
States,Kansas,2022,45,X,3.6713,X,X,X,X,X,X,747,36,20347
States,Kentucky,2022,45,X,6.38134,X,X,X,X,X,X,2405,76,37688
States,Louisiana,2022,45,X,5.20374,X,X,X,X,X,X,2503,87,48100
States,Maine,2022,45,X,2.54628,X,X,X,X,X,X,414,53,16259
States,Maryland,2022,45,X,7.22653,X,X,X,X,X,X,3646,66,50453
States,Massachusetts,2022,45,X,2.65212,X,X,X,X,X,X,2256,95,85064
States,Michigan,2022,45,X,2.30762,X,X,X,X,X,X,2145,155,92953
States,Minnesota,2022,45,X,3.35347,X,X,X,X,X,X,1221,70,36410
States,Mississippi,2022,45,X,8.15098,X,X,X,X,X,X,1259,30,15446
States,Missouri,2022,45,X,2.96742,X,X,X,X,X,X,888,41,29925
States,Montana,2022,45,X,2.22293,X,X,X,X,X,X,139,28,6253
States,Nebraska,2022,45,X,5.01369,X,X,X,X,X,X,879,85,17532
States,Nevada,2022,45,X,2.02713,X,X,X,X,X,X,405,32,19979
States,New Hampshire,2022,45,X,0.428135,X,X,X,X,X,X,7,10,1635
States,New Jersey,2022,45,X,7.86554,X,X,X,X,X,X,2588,33,32903
States,New Mexico,2022,45,X,7.66835,X,X,X,X,X,X,1945,39,25364
States,New York,2022,45,X,4.21725,X,X,X,X,X,X,2765,124,65564
States,North Carolina,2022,45,X,7.22212,X,X,X,X,X,X,7732,147,107060
States,North Dakota,2022,45,X,4.13037,X,X,X,X,X,X,147,13,3559
States,Ohio,2022,45,X,5.96911,X,X,X,X,X,X,2752,87,46104
States,Oklahoma,2022,45,X,3.21365,X,X,X,X,X,X,580,31,18048
States,Oregon,2022,45,X,2.57036,X,X,X,X,X,X,1096,89,42640
States,Pennsylvania,2022,45,X,2.92345,X,X,X,X,X,X,2159,105,73851
States,Rhode Island,2022,45,X,1.69317,X,X,X,X,X,X,246,25,14529
States,South Carolina,2022,45,X,10.8535,X,X,X,X,X,X,3731,38,34376
States,South Dakota,2022,45,X,1.36754,X,X,X,X,X,X,129,32,9433
States,Tennessee,2022,45,X,11.1599,X,X,X,X,X,X,4375,100,39203
States,Texas,2022,45,X,9.8796,X,X,X,X,X,X,5063,61,51247
States,Utah,2022,45,X,3.43612,X,X,X,X,X,X,702,48,20430
States,Vermont,2022,45,X,1.58263,X,X,X,X,X,X,86,13,5434
States,Virginia,2022,45,X,8.76753,X,X,X,X,X,X,11153,169,127208
States,Washington,2022,45,X,4.65073,X,X,X,X,X,X,2227,73,47885
States,West Virginia,2022,45,X,3.48365,X,X,X,X,X,X,489,45,14037
States,Wisconsin,2022,45,X,2.50587,X,X,X,X,X,X,555,34,22148
States,Wyoming,2022,45,X,6.7167,X,X,X,X,X,X,179,17,2665
States,Commonwealth of the Northern Mariana Islands,2022,45,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2022,45,X,7.13246,X,X,X,X,X,X,196,7,2748
States,Virgin Islands,2022,45,X,1.19926,X,X,X,X,X,X,13,3,1084
States,New York City,2022,45,X,8.52711,X,X,X,X,X,X,11331,107,132882
States,Alabama,2022,46,X,6.9431,X,X,X,X,X,X,3369,108,48523
States,Alaska,2022,46,X,3.23676,X,X,X,X,X,X,143,12,4418
States,Arizona,2022,46,X,4.44472,X,X,X,X,X,X,1071,44,24096
States,Arkansas,2022,46,X,6.72651,X,X,X,X,X,X,1199,52,17825
States,California,2022,46,X,6.47208,X,X,X,X,X,X,20087,223,310364
States,Colorado,2022,46,X,8.42227,X,X,X,X,X,X,4577,98,54344
States,Connecticut,2022,46,X,4.67524,X,X,X,X,X,X,2168,70,46372
States,Delaware,2022,46,X,2.42412,X,X,X,X,X,X,357,27,14727
States,District of Columbia,2022,46,X,12.2474,X,X,X,X,X,X,812,4,6630
States,Florida,2022,46,X,5.48824,X,X,X,X,X,X,14127,362,257405
States,Georgia,2022,46,X,6.38082,X,X,X,X,X,X,5094,106,79833
States,Hawaii,2022,46,X,3.88619,X,X,X,X,X,X,1370,42,35253
States,Idaho,2022,46,X,4.86405,X,X,X,X,X,X,483,31,9930
States,Illinois,2022,46,X,4.84578,X,X,X,X,X,X,3802,178,78460
States,Indiana,2022,46,X,4.24613,X,X,X,X,X,X,2280,108,53696
States,Iowa,2022,46,X,2.79374,X,X,X,X,X,X,175,16,6264
States,Kansas,2022,46,X,4.46521,X,X,X,X,X,X,903,35,20223
States,Kentucky,2022,46,X,7.27627,X,X,X,X,X,X,2649,75,36406
